,Car Name,Car Model,Model Year,Price,Registration Year,Fuel Type,Kms Driven(kms),Engine Displacement(cc),Transmission,Year of Manufacture,Mileage(kmpl),Steering Type,Top Speed(kmph)
1418,Ford,Ford Ecosport,2019.0,1018000.0,2019.0,Petrol,27027.0,1497.0,Automatic,2019.0,14.8,Power,171.43
1419,Honda,Honda City,2017.0,840000.0,2017.0,Petrol,56363.0,1497.0,Automatic,2017.0,18.0,Power,195.0
1420,Hyundai,Hyundai Verna,2016.0,654000.0,2016.0,Petrol,42094.0,1591.0,Manual,2016.0,17.01,Power,196.0
1421,Kia,Kia Seltos,2019.0,1125000.0,2019.0,Petrol,114912.0,1353.0,Manual,2019.0,16.1,Power,165.0
1422,Maruti,Maruti Swift,2016.0,585000.0,2016.0,Petrol,33649.0,1197.0,Manual,2016.0,22.0,Power,160.0
1423,Kia,Kia Seltos,2019.0,1250000.0,2019.0,Petrol,54000.0,1497.0,Manual,2019.0,16.8,Electric,165.0
1424,Hyundai,Hyundai Xcent,2014.0,475000.0,2014.0,Petrol,69798.0,1197.0,Manual,2014.0,19.1,Power,172.0
1425,Hyundai,Hyundai i10,2010.0,310000.0,2010.0,Petrol,69000.0,1197.0,Manual,2010.0,20.36,Power,170.0
1426,Jeep,Jeep Compass,2020.0,2395000.0,2020.0,Diesel,49001.0,1956.0,Automatic,2020.0,17.1,Power,160.21
1427,Hyundai,Hyundai Verna,2017.0,1085000.0,2017.0,Diesel,57527.0,1582.0,Automatic,2017.0,22.0,Power,190.0
1428,Fiat,Fiat Punto EVO,2015.0,475000.0,2015.0,Diesel,57367.0,1248.0,Manual,2015.0,20.5,Power,165.0
1429,Maruti,Maruti Wagon R,2015.0,405999.99999999994,2015.0,Petrol,50936.0,998.0,Manual,2015.0,20.51,Power,152.0
1430,Hyundai,Hyundai i20,2022.0,1084000.0,2022.0,Diesel,23237.0,1493.0,Manual,2022.0,25.0,Electric,165.0
1431,Maruti,Maruti Celerio,2016.0,445000.0,2016.0,Petrol,66596.0,998.0,Automatic,2016.0,23.1,Power,150.0
1432,Mahindra,Mahindra XUV500,2016.0,1382000.0,2016.0,Diesel,36613.0,2179.0,Manual,2016.0,16.0,Power,185.0
1433,Maruti,Maruti Swift Dzire,2015.0,601000.0,2015.0,Petrol,74104.0,1197.0,Manual,2015.0,20.85,Power,158.0
1434,Hyundai,Hyundai Santro,2022.0,594000.0,2022.0,Petrol,6777.0,1086.0,Manual,2022.0,20.3,Electric,165.0
1435,Ford,Ford Ecosport,2020.0,960000.0,2020.0,Petrol,14560.0,1496.0,Manual,2020.0,15.9,Electric,182.0
1436,Maruti,Maruti S-Presso,2021.0,575000.0,2021.0,Petrol,27000.0,998.0,Automatic,2021.0,21.7,Power,190.0
1437,Honda,Honda City,2015.0,729000.0,2016.0,Petrol,90333.0,1497.0,Automatic,2015.0,18.0,Power,195.0
1438,Mini,Mini Cooper Countryman,2019.0,3575000.0,2019.0,Petrol,50114.0,1998.0,Automatic,2019.0,16.6,Power,225.0
1439,Maruti,Maruti Vitara Brezza,2017.0,961999.9999999999,2017.0,Diesel,69301.0,1248.0,Manual,2017.0,24.3,Power,172.0
1440,Renault,Renault KWID,2021.0,450000.0,2021.0,Petrol,71306.0,999.0,Manual,2021.0,21.74,Electric,155.8
1441,Maruti,Maruti Baleno,2019.0,849000.0,2019.0,Petrol,35135.0,1197.0,Automatic,2019.0,19.56,Electric,180.0
1442,Maruti,Maruti Ritz,2016.0,535000.0,2016.0,Diesel,40561.0,1248.0,Manual,2016.0,23.2,Power,163.0
1443,Hyundai,Hyundai i20,2012.0,434999.99999999994,2012.0,Petrol,90000.0,1197.0,Manual,2012.0,17.0,Power,170.0
1444,Honda,Honda Jazz,2017.0,685000.0,2017.0,Petrol,60000.0,1199.0,Automatic,2017.0,19.0,Power,172.0
1445,BMW,BMW X3,2019.0,5750000.0,2019.0,Diesel,30000.0,1995.0,Automatic,2019.0,16.55,Power,213.0
1446,Renault,Renault Duster,2016.0,730000.0,2016.0,Diesel,60000.0,1461.0,Manual,2016.0,19.87,Power,156.0
1447,Mahindra,Mahindra XUV500,2015.0,1145000.0,2015.0,Diesel,102000.0,2179.0,Manual,2015.0,16.0,Power,185.0
1448,Maruti,Maruti Wagon R,2015.0,409999.99999999994,2015.0,Petrol,41659.0,998.0,Manual,2015.0,18.9,Power,152.0
1449,Audi,Audi A4,2009.0,1075000.0,2009.0,Petrol,85300.0,1781.0,Automatic,2009.0,12.3,Power,228.0
1450,Hyundai,Hyundai Verna,2017.0,849000.0,2017.0,Petrol,32483.0,1591.0,Automatic,2017.0,17.01,Power,196.0
1451,Hyundai,Hyundai i20,2018.0,749000.0,2018.0,Petrol,34376.0,1197.0,Manual,2018.0,18.6,Power,170.0
1452,Hyundai,Hyundai Creta,2017.0,872000.0000000001,2017.0,Petrol,36540.0,1591.0,Manual,2017.0,15.29,Power,165.0
1453,Hyundai,Hyundai i20,2011.0,306000.0,2011.0,Petrol,148625.0,1197.0,Manual,2011.0,17.0,Power,170.0
1454,Audi,Audi A6,2013.0,994999.9999999999,2014.0,Diesel,81000.0,2967.0,Automatic,2013.0,14.57,Power,250.0
1455,Hyundai,Hyundai i10,2013.0,348000.0,2013.0,Petrol,5609.0,1086.0,Manual,2013.0,19.81,Power,165.0
1456,Audi,Audi A3,2019.0,2425000.0,2019.0,Petrol,37000.0,1395.0,Automatic,2019.0,19.2,Power,222.0
1457,Hyundai,Hyundai Alcazar,2021.0,1725000.0,2021.0,Petrol,6000.0,1999.0,Manual,2021.0,14.5,Power,165.0
1459,Renault,Renault KWID,2018.0,417000.0,2018.0,Petrol,30285.0,999.0,Automatic,2018.0,24.04,Power,159.4
1460,Volkswagen,Volkswagen Vento,2011.0,399000.0,2011.0,Diesel,80153.0,1598.0,Manual,2011.0,20.54,Power,186.0
1461,Hyundai,Hyundai Grand i10,2016.0,541000.0,2017.0,Petrol,49641.0,1197.0,Automatic,2016.0,18.9,Power,165.0
1462,Maruti,Maruti Baleno,2016.0,568000.0,2016.0,Petrol,83075.0,1197.0,Automatic,2016.0,21.4,Power,180.0
1463,Maruti,Maruti Baleno,2018.0,730000.0,2018.0,Petrol,45677.0,1197.0,Manual,2018.0,21.4,Power,180.0
1464,Maruti,Maruti Celerio,2017.0,446000.0,2017.0,Petrol,81849.0,998.0,Manual,2017.0,23.1,Power,150.0
1465,Maruti,Maruti Swift,2015.0,638000.0,2015.0,Diesel,67791.0,1248.0,Manual,2015.0,25.2,Power,155.0
1466,Volvo,Volvo XC40,2018.0,3750000.0,2019.0,Diesel,38100.0,1969.0,Automatic,2018.0,18.0,Power,210.0
1467,Hyundai,Hyundai i20,2018.0,694000.0,2019.0,Petrol,65015.0,1197.0,Manual,2018.0,18.6,Power,170.0
1468,Mercedes-Benz,Mercedes-Benz GLC,2018.0,4700000.0,2018.0,Diesel,47000.0,2143.0,Automatic,2018.0,17.9,Power,210.0
1469,Maruti,Maruti Swift,2014.0,493000.0,2014.0,Petrol,62029.0,1197.0,Manual,2014.0,22.38,Electric,160.0
1470,Maruti,Maruti Swift,2017.0,637000.0,2017.0,Diesel,94926.0,1248.0,Manual,2017.0,25.2,Power,155.0
1471,Hyundai,Hyundai i20,2012.0,365000.0,2012.0,Petrol,119487.0,1197.0,Manual,2012.0,17.0,Power,170.0
1472,Mahindra,Mahindra Bolero,2019.0,825000.0,2019.0,Diesel,126000.0,2523.0,Manual,2019.0,15.96,Power,117.0
